Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
051.00293,EVERBAL,2011,Air,Nickel et composés (exprimés en tant que Ni),88.2,kg/an
051.00293,EVERBAL,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),21300000,kg/an
051.00293,EVERBAL,2011,Air,CO2 Total d'origine biomasse uniquement,21300000,kg/an
051.00293,EVERBAL,2011,Eau (direct),Demande biologique en oxygène (DBO5),52800,kg/an
051.00293,EVERBAL,2011,Eau (direct),Demande chimique en oxygène (DCO),230000,kg/an
051.00293,EVERBAL,2011,Sol,Cuivre et composés (exprimés en tant que Cu),115,kg/an
051.00293,EVERBAL,2011,Sol,Zinc et composés (exprimés en tant que Zn),148,kg/an
051.00333,LE CREUSET SAS,2011,Air,Cadmium et composés (exprimés en tant que Cd),101,kg/an
051.00333,LE CREUSET SAS,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),4.55,kg/an
051.00349,SOPROCOS,2011,Air,Composés organiques volatils non méthaniques (COVNM),51800,kg/an
051.00390,ISDND HOLNON ET SAVY,2011,Air,Méthane (CH4),266000,kg/an
051.00400,CROWN Food France,2011,Air,Composés organiques volatils non méthaniques (COVNM),166000,kg/an
051.00467,ROQUETTE Frères,2011,Air,CO2 Total d'origine non biomasse uniquement,22400000,kg/an
051.00467,ROQUETTE Frères,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),22400000,kg/an
051.00467,ROQUETTE Frères,2011,Sol,Cuivre et composés (exprimés en tant que Cu),60.8,kg/an
051.00467,ROQUETTE Frères,2011,Sol,Zinc et composés (exprimés en tant que Zn),143,kg/an
051.00494,NOVABION,2011,Air,CO2 Total d'origine non biomasse uniquement,13500000,kg/an
051.00494,NOVABION,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),13500000,kg/an
051.00507,Chaufferie ZUP St Quentin,2011,Air,CO2 Total d'origine non biomasse uniquement,17600000,kg/an
051.00507,Chaufferie ZUP St Quentin,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),17600000,kg/an
051.00521,TEREOS France,2011,Air,Composés organiques volatils non méthaniques (COVNM),201000,kg/an
