Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite_admise,Quantite_traitee,Unite
070.00190,HOLCIM (France) S.A.S - Usine de Dannes,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,11 01 14,Déchets de dégraissage autres que ceux visés à la rubrique 11 01 13,124.000,124.000,t/an
070.01271,ARF,Traitement de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,,,20 01 01,Papier et carton,30.600,30.600,t/an
064.01013,SOLAMAT-MEREX ROGNAC,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,07 01 99,Déchets non spécifiés ailleurs.,20.600,20.600,t/an
052.00361,SIAP,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,07 05 14,Déchets solides autres que ceux visés à la rubrique 07 05 13,0.472,0.472,t/an
059.00978,EQIOM,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,19 02 06,Boues provenant des traitements physicochimiques autres que celles visées à la rubrique 19 02 05,5520.000,5520.000,t/an
054.01296,Usine de Frangey,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,06 05 03,Boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 06 05 02.,1772.000,1772.000,t/an
066.00262,LAFARGEHOLCIM CIMENTS,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,19 12 10,Déchets combustibles (combustible issu de déchets),22600.000,22800.000,t/an
063.01161,SEDA - Classe I,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 14,Boues provenant d'autres traitements des eaux usées industrielles autres que celles visées à la rubrique 19 08 13,101.200,101.200,t/an
052.05825,SICTOM du Périgord Noir,Traitement de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,,,12,Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :,6680.000,6680.000,t/an
057.03569,S.A.R.L. BROYAGE-NORD-EST,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,4,Déchets de bois,37520.000,37520.000,t/an
060.03394,"SEDE ENVIRONNEMENT, site de Bessines sur Gartempe",Traitement de dÃ©chets non dangereux,2011,"D8 ","D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12",,,20 02 01,Déchets biodégradables,3020.000,3020.000,t/an
063.00901,SECHE ECO INDUSTRIES site de L'Oisonnière,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,08 01 99,Déchets non spécifiés ailleurs.,312.000,312.000,t/an
052.00378,ASTRIA,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,11,"Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :",28480.000,28480.000,t/an
100.07000,SETRAD (Installation de compostage),Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",54800.000,54800.000,t/an
060.00290,POLYREY USSEL,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,9,Déchets banals des entreprises,1132.000,1132.000,t/an
072.02968,INTERNATIONAL PAPER,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,03 03 09,Boues carbonatées,1448.000,1448.000,t/an
058.00433,Lafargeholcim Ciments Usine du Havre Saint Vigor,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,08 01 16,Boues aqueuses contenant de la peinture ou du vernis autres que celles visées à la rubrique 08 01 15,1678.000,1678.000,t/an
066.01920,FERTISUD,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,4,Déchets de bois,1952.000,1952.000,t/an
072.02158,Suez R&V SUD OUEST - Installation de stockage de déchets non dangereux de SAINT-SAUVEUR,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 12,Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11,125.400,125.400,t/an
063.00901,SECHE ECO INDUSTRIES site de L'Oisonnière,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 02,Déchets de dessablage,456.000,456.000,t/an
062.01370,EQIOM - usine de Héming,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,19 01 14,Cendres volantes autres que celles visées à la rubrique 19 01 13,7520.000,7520.000,t/an
064.00322,OREDUI,Traitement de dÃ©chets non dangereux,2011,D13,D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12,,,16 01 19,Matières plastiques,32.600,32.600,t/an
100.05151,SETRAD - Saint Palais,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,8,Ordures ménagères,75200.000,75200.000,t/an
